"","Comuna ","Paso ","Estado","Nota"
"","Cisnes","4","Apertura Inicial","No info"
"","Chile Chico","4","Apertura Inicial","No info"
"","Río Ibáñez","4","Apertura Inicial","No info"
"","Aisén","4","Apertura Inicial","No info"
"","O'Higgins","4","Apertura Inicial","No info"
"","Tortel","4","Apertura Inicial","No info"
"","Río Verde","3","Preparación","No info"
"","Primavera","3","Preparación","No info"
"","Porvenir","3","Preparación","No info"
"","Natales","3","Preparación","No info"
"","Laguna Blanca","3","Preparación","No info"
"","Torres del Paine","3","Preparación","No info"
"","Timaukel","3","Preparación","No info"
"","San Gregorio","3","Preparación","No info"
"","Cabo de Hornos","3","Preparación","No info"
"","Punta Arenas","2","Transición","No info"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
